run,learning_rate,gamma,buffer_size,batch_size,exploration_fraction,exploration_final_eps,mean_reward,std_reward,total_timesteps
dqn_run_1_low_lr_high_gamma,0.0001,0.99,50000,32,0.1,0.05,2.1722765927754812,2.9995269982845723,50000
dqn_run_2_high_lr_low_gamma,0.001,0.95,50000,32,0.2,0.1,2.4054822325296934,3.7117761968622047,50000
dqn_run_3_medium,0.0005,0.97,100000,64,0.15,0.05,-0.0694352691103937,1.190057307513564,50000
dqn_run_4_large_buffer,0.0001,0.99,200000,128,0.1,0.02,1.1385759821599877,2.9952917907773253,50000
dqn_run_5_small_buffer,0.0005,0.95,10000,16,0.3,0.1,0.8419975955475817,3.291747733734107,50000
dqn_run_6_large_batch,0.0001,0.98,100000,256,0.15,0.05,1.9837960000372958,2.828419466487544,50000
dqn_run_7_small_batch,0.0005,0.96,50000,8,0.2,0.08,0.8194751168040562,3.335765039710064,50000
dqn_run_8_high_exploration,0.0001,0.97,50000,32,0.5,0.2,2.6602835995730016,3.5231862981574444,50000
dqn_run_9_low_exploration,0.001,0.99,100000,64,0.05,0.01,0.7641096803560732,2.1035443092154313,50000
dqn_run_10_balanced,0.0003,0.98,75000,48,0.15,0.05,1.9063139445057131,2.3407126385344497,50000
